Size,Processes,Time_sec,Speedup,Efficiency,Operations,Status
200,1,0.00832587,1.0,100.0,8000000,PASSED
200,2,0.00428892,1.94,97.0,8000000,PASSED
200,4,0.00214529,3.88,97.0,8000000,PASSED
200,8,0.00109029,7.64,95.5,8000000,PASSED
400,1,0.0747727,1.0,100.0,64000000,PASSED
400,2,0.0387723,1.93,96.5,64000000,PASSED
400,4,0.0202317,3.7,92.5,64000000,PASSED
400,8,0.0139636,5.35,66.9,64000000,PASSED
800,1,0.648996,1.0,100.0,512000000,PASSED
800,2,0.344684,1.88,94.0,512000000,PASSED
800,4,0.209984,3.09,77.2,512000000,PASSED
800,8,0.143843,4.51,56.4,512000000,PASSED
1200,1,2.186,1.0,100.0,1728000000,PASSED
1200,2,1.25208,1.75,87.5,1728000000,PASSED
1200,4,0.793733,2.75,68.8,1728000000,PASSED
1200,8,0.53183,4.11,51.4,1728000000,PASSED
1600,1,5.72106,1.0,100.0,4096000000,PASSED
1600,2,3.35678,1.7,85.0,4096000000,PASSED
1600,4,2.04722,2.79,69.8,4096000000,PASSED
1600,8,1.67173,3.42,42.8,4096000000,PASSED
2000,1,12.0958,1.0,100.0,8000000000,PASSED
2000,2,6.41329,1.89,94.5,8000000000,PASSED
2000,4,4.35828,2.78,69.5,8000000000,PASSED
2000,8,3.42102,3.54,44.2,8000000000,PASSED
