Size,Threads,Time_sec,Speedup,Efficiency,Operations,Status
200,1,0.0168695,1.0,100.0,8000000,PASSED
200,2,0.00468525,3.6,180.0,8000000,PASSED
200,4,0.00289221,5.83,145.8,8000000,PASSED
200,8,0.00206038,8.19,102.4,8000000,PASSED
400,1,0.0763183,1.0,100.0,64000000,PASSED
400,2,0.039394,1.94,97.0,64000000,PASSED
400,4,0.0207867,3.67,91.8,64000000,PASSED
400,8,0.0171117,4.46,55.8,64000000,PASSED
800,1,0.632574,1.0,100.0,512000000,PASSED
800,2,0.330553,1.91,95.5,512000000,PASSED
800,4,0.177961,3.55,88.8,512000000,PASSED
800,8,0.126983,4.98,62.3,512000000,PASSED
1200,1,2.16668,1.0,100.0,1728000000,PASSED
1200,2,1.34668,1.61,80.5,1728000000,PASSED
1200,4,0.625669,3.46,86.5,1728000000,PASSED
1200,8,0.426311,5.08,63.5,1728000000,PASSED
1600,1,5.74914,1.0,100.0,4096000000,PASSED
1600,2,3.37764,1.7,85.0,4096000000,PASSED
1600,4,1.78132,3.23,80.8,4096000000,PASSED
1600,8,1.37611,4.18,52.2,4096000000,PASSED
2000,1,180.583,1.0,100.0,8000000000,PASSED
2000,2,108.511,1.66,83.0,8000000000,PASSED
2000,4,49.4181,3.65,91.2,8000000000,PASSED
2000,8,18.329,9.85,123.1,8000000000,PASSED
